tiempo	presion	sonido	sonido rectificado y amplificado
0,37	10,5957	3,89008	5,060596424
0,371	10,5957	2,7829	3,357398136
0,372	10,5957	1,46774	1,501239953
0,373	10,6201	0,40863	0,081770128
0,374	10,6201	-0,178528	0,618571778
0,375	10,6201	-0,290833	0,71883038
0,376	10,5957	-0,0370789	0,355215673
0,377	10,5957	0,324097	0,079829698
0,378	10,5957	0,464172	0,248650963
0,379	10,5957	0,193024	0,067163875
0,38	10,5957	-0,376587	0,773700957
0,381	10,5957	-1,00616	1,510797505
0,382	10,6201	-1,46332	1,986064661
0,383	10,6201	-1,61301	2,047132401
0,384	10,6201	-1,45615	1,721175642
0,385	10,6201	-1,09833	1,16449935
0,386	10,6201	-0,732574	0,632880061
0,387	10,6201	-0,535431	0,345429647
0,388	10,6201	-0,458221	0,225956525
0,389	10,6445	-0,314178	0,030448871
0,39	10,6445	-0,0596619	0,250866051
0,391	10,6445	0,246582	0,61665191
0,392	10,6445	0,561981	0,97089864
0,393	10,6445	0,794983	1,199891143
0,394	10,6445	0,963135	1,333433122
0,395	10,6445	1,20819	1,554713161
0,396	10,6445	1,45706	1,766858515
0,397	10,6445	1,38992	1,570661883
0,398	10,6445	0,920105	0,883448899
0,399	10,6445	0,337982	0,099029781
0,4	10,6445	-0,102844	0,419481581
0,401	10,6445	-0,274353	0,606254389
0,402	10,6445	-0,282745	0,577395665
0,403	10,6445	-0,431976	0,726398938
0,404	10,6445	-0,832367	1,17999006
0,405	10,6689	-1,18896	1,550333711
0,406	10,6689	-1,22345	1,494779234
0,407	10,6689	-1,03653	1,165952848
0,408	10,6689	-0,873413	0,887540983
0,409	10,6934	-0,779419	0,713026001
0,41	10,6934	-0,608368	0,453154869
0,411	10,6934	-0,302734	0,041383172
0,412	10,7178	0,0721741	0,391108772
0,413	10,7178	0,389252	0,761625421
0,414	10,7178	0,748291	1,161313197
0,415	10,7178	1,22696	1,68542535
0,416	10,7422	1,61087	2,058157815
0,417	10,7422	1,51581	1,808758308
0,418	10,7422	0,870819	0,887615285
0,419	10,7422	0,0421143	0,16529274
0,42	10,7422	-0,456848	0,777353329
0,421	10,7422	-0,406647	0,664502892
0,422	10,7178	-0,117798	0,260433057
0,423	10,7178	-0,0128174	0,111587178
0,424	10,7178	-0,193329	0,328958812
0,425	10,7178	-0,438995	0,614115583
0,426	10,7178	-0,53833	0,698441676
0,427	10,6934	-0,433655	0,522456904
0,428	10,6934	-0,26001	0,271317082
0,429	10,6934	-0,271912	0,267890589
0,43	10,6689	-0,513306	0,55154439
0,431	10,6689	-0,63797	0,671463197
0,432	10,6689	-0,310059	0,218128533
0,433	10,6445	0,308838	0,530454774
0,434	10,6445	0,711212	0,99883618
0,435	10,6445	0,671234	0,884848315
0,436	10,6201	0,443115	0,542846269
0,437	10,6201	0,229187	0,240071595
0,438	10,6201	0,000915527	0,021608527
0,439	10,5957	-0,164948	0,226323595
0,44	10,5957	-0,113983	0,147140377
0,441	10,5713	0,0631714	0,044804363
0,442	10,5713	0,159454	0,161085835
0,443	10,5469	0,121307	0,102024126
0,444	10,5225	-0,0700378	0,104823876
0,445	10,5225	-0,0854492	0,11624521
0,446	10,498	0,41275	0,475064329
0,447	10,498	0,892792	1,044011019
0,448	10,4736	0,647736	0,670837235
0,449	10,4736	0,0788879	0,043629473
0,45	10,4492	-0,0524902	0,203854141
0,451	10,4492	0,107574	0
0,452	10,4248	-0,0418091	0,175827578
0,453	10,4248	-0,788269	1,096598244
0,454	10,4004	-1,5062	1,923854057
0,455	10,4004	-1,3739	1,636343104
0,456	10,376	-0,500031	0,439935748
0,457	10,376	0,157928	0,371411618
0,458	10,376	0,203705	0,40403975
0,459	10,3516	0,0419617	0,175217422
0,46	10,3516	0,0062561	0,11831955
0,461	10,3516	0,0502014	0,164560301
0,462	10,3516	0,2034	0,344462285
0,463	10,3271	0,412292	0,582677445
0,464	10,3271	0,319519	0,428843854
0,465	10,3271	-0,112457	0,099327837
0,466	10,3271	-0,267181	0,285235248
0,467	10,3027	0,136566	0,198626998
0,468	10,3027	0,403595	0,518676509
0,469	10,3027	0,06073	0,056249216
0,47	10,3027	-0,430145	0,522135414
0,471	10,2783	-0,527496	0,609760791
0,472	10,2783	-0,317993	0,308313004
0,473	10,2783	-0,0639343	0
0,474	10,2783	0,172272	0,284525424
0,475	10,2783	0,590363	0,788005277
0,476	10,2539	1,10825	1,384595558
0,477	10,2539	1,40121	1,662542216
0,478	10,2539	1,33392	1,472712471
0,479	10,2539	1,13708	1,13287258
0,48	10,2539	0,765228	0,59562046
0,481	10,2295	0,0540161	0,292074989
0,482	10,2295	-0,544281	1,020338115
0,483	10,2295	-0,548706	0,960502993
0,484	10,2295	-0,323029	0,616799923
0,485	10,2295	-0,194855	0,416571104
0,486	10,2295	-0,0372314	0,192111032
0,487	10,2051	-0,0395203	0,181644828
0,488	10,2051	-0,667725	0,954230985
0,489	10,2051	-1,60721	2,067374497
